,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC 1,PC 2,PC 3,CoinName,Class
AAC,ECC 256K1,DPOS,1000000000.0,-1.0,-1.880931024327977,-0.26831502836974397,1.8136767215236442,Acute Angle Cloud,2
ACT,DPoS,DPoS,1000000000.0,0.0,-1.5629057353869455,3.1438632841953287,-2.0705816968252924,Achain,1
ADA,Ouroboros,PoS,32044642090.652863,45000000000.0,-1.5444018640695685,0.5933796366639774,-0.5413532849219667,Cardano,2
ADK,IMesh,PoW,25000000.0,0.0,0.992560274396627,-0.5888958849316,-0.05675091403287373,Aidos Kuneen,0
AEON,CryptoNight-Lite,PoW,17833854.217308108,-1.0,1.447750739028912,-0.629369780281898,-0.10910011952643647,AEON,0
AION,"Equihash210,9",PoW/PoS,492427074.0,-1.0,-1.9383904829792769,-0.7309184428917691,-0.34518827131130897,Aion,2
AMB,Dagger,PoA,708861141.0,-1.0,-1.536787779401739,0.7941752443816225,5.837831267214385,Amber,3
AR,SHA-256,PoW,64109610.45845018,66000000.0,1.693978260501243,-0.15073024108952318,-0.024563252277286,Arweave,0
ARK,DPoS,DPoS,156777326.00000003,-1.0,-1.5641467444922645,3.140712870391845,-2.070610951236747,ARK,1
AUR,Scrypt,PoW/PoS,19208237.49295899,21000000.0,-1.2358716997515709,-0.7419628568648707,-0.3326125309237219,Auroracoin,2
BCD,X13,PoW/PoS,199970562.5,210000000.0,-1.976880819109389,-0.6726976046102987,-0.3881042523958307,Bitcoin Diamond,2
BCH,SHA-256,PoW,18715087.39678951,20999999.9769,1.6938044850334475,-0.151040967744474,-0.024612391323603627,Bitcoin Cash,0
BCHA,SHA-256,PoW,18705964.64678941,20999999.9769,1.6938044716070857,-0.15104100182851887,-0.02461239164010479,Bitcoin ABC,0
BCN,CryptoNight,PoW,184467440737.09552,184470000000.0,2.422227570950635,1.139389649733837,0.19087328351448557,ByteCoin,0
BDX,CryptoNight,PoW,1400222610.0,-1.0,1.7143087679976332,-0.12309904773698627,-0.01045927011871348,Beldex,0
BEAM,Equihash,PoW,69115663.72336674,262800000.0,1.1948255214232824,-0.6592202695700097,-0.11916813937255828,Beam,0
BLK,Scrypt,PoS,60613983.34647821,100000000.0,-1.1583016467422904,-0.25742274146700933,-0.48069000748967783,BlackCoin,2
BLOCK,Quark,PoW/PoS,7619420.86531109,-1.0,-1.9636614775266605,-0.7439472688619283,-0.35115029943339743,BlockNet,2
BNB,BEP-2,PoSA,169433763.9,169433763.9,-1.8857179328428404,-0.2893388236431545,1.8240483650191988,Binance Coin,2
BSV,SHA-256,PoW,18712007.89423905,20999999.9769,1.6938044805012042,-0.15104097924998677,-0.024612391430441777,Bitcoin SV,0
BTC,SHA-256,PoW,18687912.0,20999999.9769,1.6938044450381837,-0.15104106927607333,-0.024612392266414145,Bitcoin,0
BTCP,Equihash,PoW,3818878.3878015447,22873588.0,1.1941591092377073,-0.6602166673273854,-0.11942400242608808,Bitcoin Private,0
BTCVT,SHA-256,PoW,12241374.99999982,21000000.0,1.693794957376976,-0.15106515456184016,-0.024612615919814746,Bitcoin Vault,0
BTCZ,Equihash,PoW,9245971905.054018,21000000000.0,1.257624434819535,-0.55989967971357,-0.09693093366413613,BitcoinZ,0
BTG,Equihash,PoW,18704436.110885046,21000000.0,1.1941765634167656,-0.6601669283214716,-0.11942546633989157,Bitcoin Gold,0
BTH,Equihash,PoW,30886000.0,0.0,1.194144573977122,-0.6601872746353167,-0.11944724032023984,Bithereum,0
BTM,Tensority,PoW,1671646800.0,210000000.0,1.4527594613137103,-0.6171852779662051,-0.10854941319469198,Bytom,0
BTS,SHA-512,DPoS,2994902406.75156,3600570502.0,-1.5337173023183042,2.8398347777211366,-1.9886968569576804,Bitshares,1
BTT,TRC10,DPoS,989988505624.7954,-1.0,1.0030327230721237,9.800596235616517,-2.000355212517212,BitTorrent,1
BURST,Shabal256,PoC,2111830238.0,2158812800.0,-1.3265215158573358,-0.4470888042876287,-0.08375168329988364,BurstCoin,2
CHAT,Scrypt,PoW/PoS,1000000000.0,-1.0,-1.2344781415763963,-0.7383643216799975,-0.3326007003530473,OpenChat,2
CKB,Eaglesong,PoW,31785593487.969597,-1.0,1.5275886838227024,-0.4178637358901119,-0.10692732635314996,Nervos Network,0
CLO,Ethash,PoW,2952872596.3815584,6500000000.0,1.5078936921461925,-0.6102870279708976,-0.1044891354870978,Callisto Network,0
CLOAK,X13,PoW/PoS,5622429.7901774,-1.0,-1.9776660260889611,-0.6740823058043375,-0.3883329610523857,CloakCoin,2
CMTC,Scrypt,PoW,872830.0,0.0,0.7477146420102626,-0.6833386982916914,-0.2128645020003345,CometCoin,0
COVAL,Multiple,PoW,1776262218.3471327,-1.0,1.5016552199379414,-0.5672570522204727,-0.09723523196857202,Circuits of Value,0
DAPS,Dagger, PoW/PoS/PoA,62319462900.0,70000000000.0,-1.026413394916552,1.7406480716590096,6.002509404643948,DAPS Coin,3
DASH,X11,PoW/PoSe,10094417.49214754,18900000.0,-1.148206582869046,-0.5450824772101263,-0.07543504979111548,Dash,2
DCR,BLAKE256,PoW/PoS,12845262.6743833,21000000.0,-1.9513436055060014,-0.7388496264363542,-0.3480589454714216,Decred,2
DGB,Multiple,PoW,14239347972.86865,21000000000.0,1.5699153096639393,-0.45483441412752157,-0.07460624057997557,DigiByte,0
DOGE,Scrypt,PoW,129153386383.70401,-1.0,0.9377942614607777,-0.2008044003034279,-0.2083837393848524,Dogecoin,0
EMC,SHA-256,PoW/PoS,47306088.108945,-1.0,-0.28986659830927913,-0.2097585269375717,-0.1444044576495491,Emercoin,2
EMC2,Scrypt,PoW,221531472.49999908,-1.0,0.7480393953529145,-0.6825142825693815,-0.21285684656388446,Einsteinium,0
EOS,DPoS,DPoS,1028903830.6592,-1.0,-1.5628631963091213,3.1439712734930048,-2.0705806940490907,EOS,1
ETC,Ethash,PoW,126409655.49249911,210700000.0,1.4887840123544558,-0.6405711570369618,-0.11123486660846006,Ethereum Classic,0
ETH,Ethash,PoW,115566148.999,-1.0,1.4882672135468422,-0.6412724510955475,-0.11145794871996405,Ethereum,0
ETZ,Ethash,PoW,223146443.5,-1.0,1.488425544351847,-0.6408705140332599,-0.11145421637477933,EtherZero,0
EXP,Ethash,PoW,34700351.97,100000000.0,1.488385902542519,-0.6412609663085352,-0.11135505613611275,Expanse,0
FIRO,MTP,PoW,11779000.86002902,21400000.0,1.447822385810684,-0.6292904965107082,-0.10905594095947355,Firo,0
FTC,NeoScrypt,PoW,241657838.00773004,336000000.0,1.4496770889450274,-0.6260018129788485,-0.10838466385434088,FeatherCoin,0
GRIN,C31,PoW,65994389.69399997,-1.0,1.4567460568949886,-0.6333757314087024,-0.11000867062324533,Grin,0
GRS,Groestl,PoW,77390653.8873888,105000000.0,1.4483266160260664,-0.6283864538902524,-0.10887725014026531,Groestlcoin,0
HC,BLAKE256,PoW/PoS,45071909.329052,84000000.0,-1.951146423285315,-0.7385316468550588,-0.3479912376066856,HyperCash,2
HNS,Blake2B + SHA3,PoW,374904306.450223,2040000000.0,1.4569285830430017,-0.6155916804607182,-0.10482480497743266,Handshake,0
ICX,Loopchain,PoS,885446810.1162684,-1.0,-1.8053676612505811,0.1344378504175136,-0.6372541375943268,ICON Project,2
INT,IMesh,DPoS+dBFT,500700816.2952117,1000000000.0,-0.3000085023629341,-0.47632290923340787,0.051073946089528116,INT,2
IOC,X11,PoW/PoS,18821956.47434563,22000000.0,-1.484720549344567,-0.6812839949043812,-0.23961569295881902,IOCoin,2
KCASH,SHA-512,Zero-Knowledge Proof,1000000000.0,-1.0,-1.7061143428868328,1.7527033835242822,-1.8084244348130138,Kcash,1
KMD,Equihash,dPoW/PoW,127433255.91147529,200000000.0,0.040019837549145926,-0.6103603420573348,-0.07422081028862221,Komodo,0
LSK,DPoS,DPoS,143777095.0,-1.0,-1.5641658775226124,3.1406642994646017,-2.0706114022612545,Lisk,1
LTC,Scrypt,PoW,67485208.23347135,84000000.0,0.748012348874114,-0.6828263895865416,-0.2127734045692193,Litecoin,0
MAPS,SPL Token,PoH,75000000.0,10000000000.0,-1.750056062298952,-0.04019331013624378,2.540976296150437,MAPS,2
MEC,Scrypt,PoW,39464353.43059969,42000000.0,0.7478712741087222,-0.683062797090894,-0.2128187699176265,MegaCoin,0
MONA,Scrypt,PoW,81409662.47157931,-1.0,0.7478331717216863,-0.6830377999007519,-0.21286170789062822,MonaCoin,0
MWC,C31,PoW,10724606.8569404,20000000.0,1.45671225441981,-0.6335195056418496,-0.10998944850732795,MimbleWimbleCoin,0
NANO,Blake2b,PoW,133248290.0,133248290.0,1.4824213681808136,-0.5619254971281893,-0.10899017180312401,Nano,0
NAV,X13,PoW/PoS,71494179.4391518,-1.0,-1.9775690796435426,-0.6738361984882677,-0.3883306757257969,NavCoin,2
NLG,Scrypt,PoW,534919274.36991316,1680000000.0,0.7524940304495095,-0.6760747303157165,-0.2110702458297094,Gulden,0
NMC,SHA-256,PoW,17444737.5,-1.0,1.6937526977990651,-0.15111157254723764,-0.024634631999984325,Namecoin,0
NSR,PoS,PoS,5856931371.0671,0.0,-1.2692432647404484,-0.011765497686187691,-0.48430197861361285,NuShares,2
NVC,Scrypt,PoW/PoS,3220117.374982,-1.0,-1.2359451477968277,-0.7420884495941973,-0.3326352822122159,NovaCoin,2
NXS,SHA3,PoW/nPoS,70332771.175129,78000000.0,-1.8878390859209242,-0.29470974322298527,1.8171408415927814,Nexus,2
NXT,PoS,PoS/LPoS,998999927.9376907,1000000000.0,-0.9204046069286239,-0.24141091897861164,-0.26396713978101927,Nxt,2
ONT,VBFT,PoS,1000000000.0,-1.0,-1.8050797690178504,0.13520053221642345,-0.6372463025945718,Ontology,2
OXYC,DPoS,DPoS,1122382283.37,-1.0,-1.5627256198250905,3.144320523835216,-2.0705774509472343,Oxycoin,1
PIVX,Quark,PoW/PoS,65835240.96207255,-1.0,-1.9635757986604463,-0.743729765314305,-0.35114827971838636,Private Instant Verified Transaction,2
POA,Proof-of-Authority,PoA,286821467.2418366,-1.0,-1.7106048989835367,0.4127440771660658,5.708237079057021,Poa Network,3
POT,Scrypt,PoW/PoS,226095182.1191626,420000000.0,-1.2346187804316004,-0.7399385815447372,-0.33218361783068207,PotCoin,2
PST,Scrypt,PoW,100000000.0,-1.0,0.7478605319656776,-0.6829683434478971,-0.2128610629253301,Primas,0
PURA,X11,PoW,188358976.83969808,-1.0,0.49913991577030314,-0.6219610512351381,-0.11986220305109502,Pura,0
QRK,Quark,PoW/PoS,269148702.03298014,-1.0,-1.9632765730066302,-0.7429701539408159,-0.35114122604725945,QuarkCoin,2
QRL,RandomX,PoW,73791381.76850128,105000000.0,1.4570875725759551,-0.6328892654143421,-0.10985277414052302,Quantum Resistant Ledger,0
QTUM,POS 3.0,PoS,103337720.0,107822402.25,-1.8180992658321717,0.13049047726245147,-0.6425078754072077,QTUM,2
RDD,Scrypt,PoW/PoS,30135221272.44821,-1.0,-1.1915985133000175,-0.6295105087986941,-0.3315898953233185,Reddcoin,2
RISE,DPoS,PoS,176515103.41,-1.0,-1.7530426307736897,1.4119409862416104,-1.3448693371848517,Rise,2
RVC,X16R,PoW,8547105000.0,21000000000.0,1.554426356078102,-0.4552220563840511,-0.06475756463651013,Ravencoin Classic,0
SAFEX,Scrypt,PoC,2147483647.0,-1.0,-0.8819864677282091,-0.587623060335264,-0.2022866481814144,SafeExchangeCoin,2
SC,Blake2b,PoW,47562022992.0,-1.0,1.5519077148145721,-0.38514194686273007,-0.10748553889753117,Siacoin,0
SHIFT,DPoS,DPoS,14811652.0,-1.0,-1.564355681821836,3.140182464091904,-2.0706158765337253,Shift,1
SIB,X11GOST,PoW,19115893.03801108,21000000.0,1.4478392010856713,-0.6292438837813216,-0.10905627265242221,SibCoin,0
SLS,Scrypt,PoW/PoS,1032663.86390098,-1.0,-1.2359483671715,-0.7420966222678478,-0.3326353581028015,SaluS,2
SMART,KECCAK,PoW,2647792153.615352,5000000000.0,1.4746555384028093,-0.5839167694524069,-0.09850138677910857,SmartCash,0
STEEM,PoS,PoW,379291763.959,-1.0,0.6290369596692672,-0.45760997117116153,-0.21655874129359895,Steem,0
STRAX,X13,PoS,130465430.0,-1.0,-1.9001609599420275,-0.1894782092466975,-0.5364910443857158,Stratis,2
SYS,SHA-256,PoW,610756138.8780214,888000000.0,1.6967367025246483,-0.14610999023325086,-0.023675448718563988,SysCoin,0
TENT,Equihash,mPoW,34596120.0,84096000.0,0.03931606135252079,-0.6116261832604286,-0.07446867735639703,TENT,0
TPAY,POS 3.0,PoS,21880393.0,25000000.0,-1.8184160214977612,0.12992639856227203,-0.6425982431641645,TokenPay,2
TRI,X13,PoW/PoS,177627.027783,0.0,-1.977674039450077,-0.6741026484488688,-0.3883331499510107,Triangles Coin,2
UBQ,Dagger-Hashimoto,PoW,50690852.8539663,-1.0,1.447833314422128,-0.6291510222110631,-0.10909787223348603,Ubiq,0
UBTC,SHA-256,PoW,21000000.0,21000000.0,1.6938078478431482,-0.15103243094811025,-0.02461231205178778,UnitedBitcoin,0
VEIL,X16RT,PoW/PoS,108074855.26569952,300000000.0,-1.9381387122207472,-0.731800831918995,-0.3445894283101449,VEIL,2
VET,VeChainThor Authority,Proof of Authority,85985041177.0,86712634466.0,0.05334775293464814,4.550429780832049,8.342986194375644,VeChain,3
VIA,Scrypt,PoW,23173939.90280659,-1.0,0.7477474635640983,-0.6832553778071702,-0.2128637282961276,ViaCoin,0
VSYS,SPoS,SPoS,5819116935.0,-1.0,-1.8395085754456753,-0.1211267989294966,1.8252161222234538,V Systems,2
VTC,Lyra2REv2,PoW,59689473.81663466,84000000.0,1.448196889795227,-0.6286216671157295,-0.10892222001862804,Vertcoin,0
WAVES,Leased POS,LPoS,104904988.0,-1.0,-1.8886247632181905,-0.29565353286631124,1.811533411836769,Waves,2
WBBC,SHA-256,PoW,1000016730264.435,1000016730264.435,5.542565419789621,6.721219427964191,1.0670576684755668,Wibcoin,1
XCP,SHA-256,PoW,2615053.2051785,-1.0,1.6937308722792228,-0.15116697860247968,-0.024635146494771675,CounterParty,0
XDN,BMW512 / Echo512,PoW/PoS,5038250042.423337,-1.0,-1.9269660335569976,-0.7006528829139318,-0.3448773544186277,DigitalNote,2
XDNA,HEX,PoW/PoS,8830765.0,0.0,-1.9396058452124523,-0.7341381707983239,-0.34522134744587923,XDNA,2
XHV,CryptoNight-Heavy,PoW,14928269.420743112,-1.0,1.447743436785343,-0.629389125327128,-0.10910031825732577,Haven Protocol,0
XMR,RandomX,PoW,17892321.457760755,-1.0,1.4567557153858153,-0.6334274060365368,-0.10996569649174744,Monero,0
XSN,X11,TPoS,119430703.86680388,-1.0,-1.148008517690855,-0.5444601536997058,-0.07546695487652454,Stakenet,2
XVG,Multiple,PoW,16446702949.431252,16555000000.0,1.562598082135978,-0.4605274495891605,-0.07922794037561945,Verge,0
XWC,Scrypt,PoW/PoS,919995450.0,1000000000.0,-1.232218859311748,-0.7355271089613854,-0.33154649493083843,WhiteCoin,2
ZEC,Equihash,PoW,11015783.61104711,21000000.0,1.194165247677715,-0.6601956543480462,-0.11942573308674559,ZCash,0
ZEL,Equihash,PoW/PoS,440000000.0,210000000.0,-0.7884173827796842,-0.7167586952005465,-0.2389819423153011,Zelcash,2
ZEN,Equihash,PoW,10999481.25,21000000.0,1.194165223684789,-0.6601957152562559,-0.11942573365233294,Horizen,0
